source_file,test_id,qid,type,cluster,tsne_x,tsne_y,clean_text
science-biology-2015.js,science_biology_2015,1.0,multiple-choice,8,158.31448,-23.865107,Red flower color is dominant to white flower color in rose plants. What is the expected result of a cross between two heterozygous rose plants?
science-biology-2015.js,science_biology_2015,2.0,drag-drop,13,14.500002,9.961837,Place the phases of mitosis in the correct sequence.
science-biology-2015.js,science_biology_2015,3.0,multiple-choice,13,-100.087364,8.417416,"To classify an organism a scientist finds in the field, which of these will the scientist first compare to other known organisms?"
science-biology-2015.js,science_biology_2015,4.0,multiple-choice,11,-5.8211403,104.070625,"For the growth curve to continue increasing, which of these must occur?"
science-biology-2015.js,science_biology_2015,5.0,multiple-choice,9,-71.69684,109.51515,What did Rosalind Franklin contribute to the understanding of DNA molecules?
science-biology-2015.js,science_biology_2015,6.0,drag-drop,13,-101.87538,-19.190617,Some functions of several structures of a fish are listed in the chart. Complete the chart by placing the structures of a cell next to the function they perform.
science-biology-2015.js,science_biology_2015,7.0,multiple-choice,6,39.873573,56.22025,Darwin's explanation for evolution was dependent on which scientific concept?
science-biology-2015.js,science_biology_2015,8.0,multiple-choice,1,57.576065,185.46332,Which best helps scientists determine the age of fossils?
science-biology-2015.js,science_biology_2015,9.0,multiple-choice,8,176.57881,-5.9042773,"A student is investigating the effect of plants on indoor air quality and states, ""If plants are added to an indoor environment, the air quality will improve."" This statement is an example of —"
science-biology-2015.js,science_biology_2015,10.0,multiple-choice,5,56.805992,-68.1948,"Although controversial at first, the germ theory of disease proposed that microorganisms were the cause of many diseases. Which of these was a result of the general acceptance that microorganisms cause disease?"
science-biology-2015.js,science_biology_2015,11.0,multiple-choice,6,-176.4545,-10.682445,A biologist gathered data to show the interaction of the golden-cheeked warbler and juniper tree populations. Which conclusion did the biologist most likely make from the data shown?
science-biology-2015.js,science_biology_2015,12.0,multiple-choice,1,59.603966,169.04164,Studying the differences between fossils and modern organisms helps scientists better understand the —
science-biology-2015.js,science_biology_2015,13.0,multiple-choice,13,21.338434,-130.33116,"This chart shows observations made of an unknown organism. Based on this information, the organism most likely belongs to the kingdom —"
science-biology-2015.js,science_biology_2015,14.0,multiple-choice,6,30.249382,38.00674,What can be concluded from this graph?
science-biology-2015.js,science_biology_2015,15.0,multiple-choice,10,113.07606,56.262024,Which statement is an inference based on this information?
science-biology-2015.js,science_biology_2015,16.0,multiple-choice,9,-9.969416,30.042084,The weakness of hydrogen bonds between the bases of DNA allows —
science-biology-2015.js,science_biology_2015,17.0,multiple-choice,13,22.554682,-142.70795,Which of these would most likely result in a change to the current classification of an organism?
science-biology-2015.js,science_biology_2015,18.0,multiple-select,12,14.500002,9.961837,Select the autotrophs.
science-biology-2015.js,science_biology_2015,19.0,multiple-choice,13,-89.91665,-7.464397,Five species of frogs that live in separate habitats within 5 non-overlapping ranges along the Mississippi River share a common ancestor. Which process is most likely responsible for the formation of these five distinct species?
science-biology-2015.js,science_biology_2015,20.0,multiple-choice,3,7.1231627,-67.90155,Chloroplast process X + H₂O → Y + O₂ The diagram shown represents the input and output of a process performed by the chloroplast of a cell. Which substance is most likely represented by Y?
science-biology-2015.js,science_biology_2015,21.0,multiple-choice,12,-35.678673,-98.56659,Which statement best describes her hypothesis?
science-biology-2015.js,science_biology_2015,22.0,multiple-choice,6,-43.531578,52.774853,Seaweeds occupy an important niche in the Chesapeake Bay ecosystem. Which question will best help a student identify the role of seaweeds in this ecosystem?
science-biology-2015.js,science_biology_2015,23.0,multiple-choice,13,14.500002,9.961837,"In 1950, Erwin Chargaff discovered that the percentage of adenine in DNA equals the percentage of thymine, and that the percentage of cytosine equals the percentage of guanine. This proved invaluable to the eventual discovery of which aspect of DNA?"
science-biology-2015.js,science_biology_2015,24.0,multiple-choice,13,23.986399,-117.78676,"The study of embryos and other early stages of development can help in the classification of living things, past and present, by providing clues about the —"
science-biology-2015.js,science_biology_2015,25.0,drag-drop,0,-96.196594,120.14658,Complete the sentences about water molecules by dragging the correct terms to each box.
science-biology-2015.js,science_biology_2015,26.0,multiple-choice,8,190.50827,-5.5816255,Which characteristic do most adult fungi and plants share?
science-biology-2015.js,science_biology_2015,27.0,multiple-choice,0,93.3607,-98.73446,"Students use a dissolved oxygen probe during a laboratory activity involving 1,000 mL samples of pond water. The function of the probe is to —"
science-biology-2015.js,science_biology_2015,28.0,free-response,9,-73.05965,48.894028,"In a population of 120 oak trees, 25% of the population has oak wilt disease. What is the number of trees in this population that have oak wilt?"
science-biology-2015.js,science_biology_2015,29.0,multiple-choice,6,-154.13615,-3.762753,"An insect called the hemlock woolly adelgid was introduced to a Virginia forest ecosystem. This pest feeds on the nutrients stored inside a hemlock tree, resulting in the death of the tree. Which kind of data would best help a student evaluate the effect of this insect?"
science-biology-2015.js,science_biology_2015,30.0,multiple-choice,3,108.96989,-17.09889,A student wanted to compare the transpiration rates of two different plant species at varying levels of humidity. The results are recorded in the table shown. Each plant group was given the same amount of water and light throughout the investigation. Which procedure should have been performed to prevent error in this investigation?
science-biology-2015.js,science_biology_2015,31.0,multiple-choice,9,-65.134415,62.382927,"In an ecosystem, a sudden decrease in the number of bacteria in the soil would most likely result in —"
science-biology-2015.js,science_biology_2015,32.0,multiple-choice,11,2.86191,117.08005,"Medicines are being produced using recombinant DNA technology. For veterinarians, the use of this DNA technology will result in —"
science-biology-2015.js,science_biology_2015,33.0,multiple-choice,4,-13.49235,-63.80647,The arrow in the diagram represents the movement of which molecular structure?
science-biology-2015.js,science_biology_2015,34.0,multiple-choice,13,33.91815,-138.01889,"According to the classification key, what is the genus and species of this organism?"
science-biology-2015.js,science_biology_2015,35.0,multiple-choice,12,-7.918097,-42.01216,The jackrabbit is a desert mammal. The jackrabbit's circulatory system increases blood flow to the ears during hot days. The blood flow to the ears decreases during cool or cold nights. This circulation pattern is most directly related to —
science-biology-2015.js,science_biology_2015,36.0,multiple-choice,10,124.83612,43.187695,Proteins are among the most diverse group of macromolecules because of the —
science-biology-2015.js,science_biology_2015,37.0,multiple-choice,9,-32.494915,6.2360435,Which is an activity that increases the genetic variation within a population of earthworms?
science-biology-2015.js,science_biology_2015,38.0,multiple-choice,13,14.500002,9.961837,The structural differences between a tadpole and an adult frog are due to the —
science-biology-2015.js,science_biology_2015,39.0,multiple-choice,0,124.84375,-128.11363,"After 24 hours, the amount of gas that accumulated at the top of the inverted test tube is measured. The students conclude that the light source is causing the water to evaporate, causing water vapor to fill the top of the tube. The best alternative explanation of the differences between the setups is that the —"
science-biology-2015.js,science_biology_2015,40.0,drag-drop,6,-163.25998,-33.381218,This table was found in a journal of student research. What are the independent and dependent variables in this investigation?
science-biology-2015.js,science_biology_2015,41.0,multiple-choice,1,49.11586,176.0815,Scientists classifying modern animals are most likely to compare the —
science-biology-2015.js,science_biology_2015,42.0,multiple-choice,3,23.469908,-59.231857,Which feature do viruses have in common with animal cells?
science-biology-2015.js,science_biology_2015,43.0,multiple-choice,5,39.179077,-55.673824,"According to this diagram, the result of spermatogenesis is four sperm cells, each with —"
science-biology-2015.js,science_biology_2015,44.0,multiple-choice,10,159.3252,62.420815,A group of ponies lives in the Chincoteague National Wildlife Reserve in Virginia. The development of longer legs over time would be selected for if —
science-biology-2015.js,science_biology_2015,45.0,multiple-choice,13,-75.54736,-21.525278,One parent is heterozygous for a certain trait (Dd). The other parent is homozygous dominant (DD) for that trait. What is the percent chance that an offspring from this cross will be heterozygous?
science-biology-2015.js,science_biology_2015,46.0,multiple-choice,6,-215.9291,-23.55835,Which trial in the table of data shown has questionable data?
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,12,-42.063847,-84.50868,A student measures the mass of a 1.00 g aluminum rod as 0.99 g. The best estimate of the percent error associated with this measurement is —
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,2,93.10423,112.30777,The most efficient way to determine whether a reaction is an exothermic chemical reaction is to use —
science-chemistry-2015.js,science_chemistry_2015,,multiple-choice,2,104.62955,121.89784,2Al(C₂H₃O₂)₃ + 3Ba(SO₄) → Al₂(SO₄)₃ + 3Ba(C₂H₃O₂)₂ Which type of chemical reaction does this equation represent?
