cluster,num_questions,top_keywords,category_name
0,36,"water, freezing, fresh water, decreases, investigation, solvent, shallow, storms",
1,7,"scientists, fossils, animals, compare, organisms, climate, deep, frozen",
2,9,"reaction, chemical, equation, type, elements, exothermic, numbers, equilibrium",
3,13,"plant, grows, cell, animal, kingdom, farmer, produce, comparing",
4,6,"formula, compound, substance, molecular, empirical, melting, diagram, produced",
5,13,"earth, tides, falls, influence, organisms, theory, traveling, jupiter",
6,20,"table, data, trial, elements, mineral, conversion, periodic table, period",
7,13,"food, energy, organisms, food web, source, nonrenewable, cell, ocean",
8,10,"characteristic, plants, environment, planets, solar, quality, fungi, rocks",
9,18,"molecules, moles, solution, number, substances, molarity, produced, dissolved",
10,15,"time, investigation, group, information, constant, organisms, investigating, measure",
11,17,"volume, particles, produced, increasing, temperature, oxygen, percent, error",
12,25,"rock, type, mass, ocean, hypothesis, collecting, sediments, organic",
13,20,"organism, classification, chart, kingdom, species, current, physical, genus",
